,id,album,artists,duration_ms,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14714,15wOSEGn1SlkP1QsPADbUz,Sabina,['Faith + 7'],448000,False,Litlle %5,0,0.899,0.825,7,-8.787,1,0.212,0.0223,0.798,0.0755,0.584,119.98
14715,6mPcCsJPFf1UgsD58hQXOm,Teufel schreien nicht,['Godgoodwill'],267572,True,66 %,0,0.375,0.779,10,-13.177,0,0.472,0.531,0.0,0.238,0.272,120.494
14716,18zgzgGmmbwFBEPbRUkmIU,Back to the Rap,['Noisy'],158667,False,1 %,0,0.654,0.744,2,-8.684,0,0.223,0.363,0.0,0.0935,0.654,114.863
14717,2D7cvAJiwXsiZCLsPBqt1w,Illicites Propos,['Séty Rixe'],204591,False,Sang %,0,0.416,0.586,8,-11.767,0,0.346,0.0858,0.0,0.0871,0.642,97.777
14718,2Z858x4YJSRdZ42aBCPDGO,Pisadão Sertanejo,['Billy Darc'],146076,False,100 % Vagabundo,0,0.666,0.937,11,-5.085,0,0.0659,0.265,0.000149,0.232,0.61,176.167
14719,4nErbBXNBm6JBYJLyRJ1el,Together Cafe,"[""Yesterday's Blue""]",132742,False,100 % Worship,0,0.794,0.211,0,-14.67,1,0.0485,0.765,0.837,0.0815,0.548,129.932
14720,6nVUYSEyOMiG9Vc4BgaDF7,Summer Vibes,['Billy Dakid Perdomo'],418560,False,One Hundred %,0,0.791,0.948,5,-4.989,0,0.0574,0.000193,0.866,0.0331,0.788,125.004
14721,0GjST8DqAtvydRkeC7d6kc,Nature Music,['Total Relax'],266000,False,Wind %tracktitle% Water,0,0.218,0.156,1,-36.625,1,0.0997,0.115,0.216,0.155,0.118,102.266
14722,6jjVpIo6kTXXxFTkcZVKNv,Karliber .375,"['Sha-Karl', 'Vokalmatador', 'Victor Moreno']",185286,True,100 % Effizient,1,0.943,0.714,9,-5.8,1,0.338,0.0369,0.0,0.0868,0.643,129.923
14723,181hqxv1v5El28Jid8k9g9,Best of Kane,['Kane'],251011,True,100 % Snow,0,0.7,0.733,10,-1.612,0,0.32,0.0941,0.0,0.316,0.486,170.309
14724,4mCtnM6dIPRk5zjaS7QsGC,Klartext,['Freezy Trap'],109090,False,100 % i,0,0.707,0.671,11,-6.692,1,0.0312,0.0084,2.4e-06,0.201,0.284,88.011
14725,0iPkT33QRvNGJnRkxmXtD3,Steppin Like Smoove,"['YBG Smoove', 'Pedro Gotti', 'Big Honcho']",169364,True,5 % Tint,0,0.802,0.325,7,-17.604,0,0.25,0.152,0.0,0.0786,0.93,91.052
14726,0C8M86jJ4EYMhMhe8IU5XM,The Legends Of Hardstyle - The Essential Hardstyle Collection,['Flutlicht'],271320,False,101 % Hardbazz,0,0.618,0.991,1,-5.102,0,0.052,0.00252,0.955,0.281,0.459,147.991
